WORLD RANK;COUNTRY;ZONE RANK;IOC;CURRENT POINTS;+/- RANK *
143.;Bhutan;36.;BHU;44.1;0
144.;Moldova;47.;MDA;43.8;0
145.;Equatorial Guinea;30.;GEQ;43.6;-6
146.;Brunei Darussalam;37.;BRU;42.7;-1
147.;Guatemala;33.;GUA;41.5;-1
148.;Tanzania;31.;TAN;39.9;-1
149.;Zimbabwe;32.;ZIM;39.6;-1
150.;Oman;38.;OMA;37.4;-1
151.;Macau;39.;MAC;34.9;-1
152.;Gabon;33.;GAB;33.5;-1
153.;St. Lucia;34.;LCA;30.8;-1
154.;Nepal;40.;NEP;28.6;-1
155.;Fiji;41.;FIJ;27.5;-1
156.;Cambodia;42.;CAM;27.0;-1
157.;Myanmar;43.;MYA;25.5;-1
158.;Haiti;35.;HAI;22.4;-1
159.;Eritrea;34.;ERI;19.9;-1
160.;Cook Islands;44.;COK;19.0;-1
